Division, Department, Course Number, Course Title
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,215,Introduction to Agricultural and Applied Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,244,The Environment and the Global Economy 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,299,Independent Study Freshmen/ Sophomore or
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,306,The Real Estate Process 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,322,Commodity Markets 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,340,Issues in Food Systems
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,343,Environmental Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,350,World Hunger and Malnutrition 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,373,Globalization/ Poverty and Development 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,421,Economic Decision Analysis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,462,Latin American Economic Development 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,474,Economic Problems of Developing Areas 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,500,Senior Capstone Experience 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,520,Community Economic Analysis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,531,Natural Resource Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,637,Applied Econometric Analysis II 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,641,Foundations of Agricultural Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,642,Foundations of Development Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,643,Foundations of Environmental and Natural Resource Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,652,Decision Methods for Natural Resource Managers 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,671,Energy Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,681,Senior Honors Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,682,Senior Honors Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,692,Senior Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,699,Special Problems
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,799,Practicum in Agricultural and Applied Economics Teaching
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,835,Game Theory and Political Analysis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,875,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,982,Interdepartmental Seminar in the Latin-American Area
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research and Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,999,Special Work - Agricultural and Applied Economics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,701,The Farm as Socio-Environmental Endeavor
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,710,Agroecology Seminar 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,875,Topics in Agroecology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,338,Plant Breeding and Biotechnology
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,350,World Hunger and Malnutrition 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,375,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,500,Senior Capstone Experience 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,501,Principles of Plant Breeding 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,555,Plant Functional Genomics and Bioinformatics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,565,The Ethics of Modern Biotechnology
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,681,Senior Honors Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,682,Senior Honors Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,699,Special Problems
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,799,Practicum in Agronomy Teaching
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,875,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,920,Seminar 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,957,Seminar-Plant Breeding 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,150,Career Orientation Animal/Poultry Sciences
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,200,The Biology and Appreciation of Companion Animals
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,221,Advanced Meat Animal Evaluation Lab 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,289,Honors Independent Study
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,299,Independent Study
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,305,Introduction to Meat Science and Technology
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,311,Comparative Animal Nutrition Bmol
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,313,Animal Feeds and Diet Formulation
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,321,Food Laws and Regulations 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,361,Introduction to Animal and Veterinary Genetics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,362,Veterinary Genetics Dy Sci/
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,363,Principles of Animal Breeding Dy Sci/
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,375,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,520,Ornithology
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,521,Birds of Southern Wisconsin 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,681,Senior Honor Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,682,Senior Honors Thesis
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,699,Special Problems
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,799,Practicum in Animal Sciences Teaching
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,875,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,931,Seminar in Animal Nutrition
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,951,Seminar in Animal Breeding
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,954,Seminar in Endocrinology-Reproductive Physiology
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,289,Honors Independent Study Enrolled in the CALS Honors Prgm & 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,299,Independent Study 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,375,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,501,Introduction to Biochemistry 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,508,General Biochemistry II 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,510,Biochemical Principles of Human and Animal Nutrition Biomolecular 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,550,Topics in Medical Biochemistry 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,575,Biology of Viruses 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,609,Mathematical Methods for Systems Biology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,619,Advanced Nutrition: Intermediary Metabolism of Macronutrients 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,620,Eukaryotic Molecular Biology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,621,Plant Biochemistry 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,625,Coenzymes and Cofactors in Enzymology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,651,Biochemical Methods 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,681,Senior Honors Thesis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,682,Senior Honors Thesis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,691,Senior Thesis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,692,Senior Thesis 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,699,Special Problems 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,710,Exploring Biochemical Function of Macromolecules 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,729,Advanced Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,801,Biochemical Applications of Nuclear Magnetic Resonance 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,872,Selected Topics in Macromolecular and Biophysical Chemistry 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,909,Seminar-Enzymology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,910,Seminar-Molecular Virology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,913,Seminar-RiboGroup 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,914,Seminar-Molecular Biosciences 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,915,Computation and Informatics in Biology and Medicine
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,916,Cellular Mechanisms of Protein Biogenesis and Trafficking 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,932,Biotechnology Training Program Seminar 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,945,Seminar-Chemical Biology 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,243,Operating and Management Principles of Off-Road Vehicles 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,299,Independent Study
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,309,Biological Systems Engineering Design Practicum I
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,349,
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,356,Sustainable Residential Construction 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,365,Measurements and Instrumentation for Biological Systems 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,367,Renewable Energy Systems College algebra/ college-level phys sci crse 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,375,Special Topics 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,441,Rheology of Foods and Biomaterials 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,461,Bioprocessing Unit Operations 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,476,Engineering Principles of Off-Road Vehicles
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,571,Small Watershed Engineering 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,699,Special Problems 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,799,Practicum in Agricultural Engineering Teaching 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,901,Graduate Research Seminar 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,990,Research 
College of Ag & Life Sci,AGRICULTURAL AND APPLIED ECON,999,Special Problems 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,140,Introduction to Community and Environmental Sociology 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,210,Survey of Sociology 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,211,The Sociological Enterprise 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,215,Gender and Work in Rural America 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,248,Environment/ Natural Resources/ and Society
